Suburb,Month,HourlyPedestrians,Path
Carlton,2024-01,156.4085662,1
Carlton,2024-02,202.6171757,1
Carlton,2024-03,202.9148625,1
Carlton,2024-04,188.2547655,1
Carlton,2024-05,188.4815682,1
Carlton,2024-06,155.9569892,1
Carlton,2024-07,158.3872832,1
Carlton,2024-08,215.1460065,1
Carlton,2024-09,177.4898284,1
Carlton,2024-10,185.1314355,1
Carlton,2024-11,162.5709799,1
Carlton,2024-12,151.7854501,1
Docklands,2024-01,227.9476767,1
Docklands,2024-02,267.3897443,1
Docklands,2024-03,270.8674764,1
Docklands,2024-04,221.8279879,1
Docklands,2024-05,247.8813655,1
Docklands,2024-06,223.9152343,1
Docklands,2024-07,227.8583995,1
Docklands,2024-08,250.0361136,1
Docklands,2024-09,219.3542724,1
Docklands,2024-10,296.4652723,1
Docklands,2024-11,276.318188,1
Docklands,2024-12,249.6365543,1
East Melbourne,2024-01,195.9014845,1
East Melbourne,2024-02,247.1370851,1
East Melbourne,2024-03,245.269179,1
East Melbourne,2024-04,258.1281337,1
East Melbourne,2024-05,236.0654952,1
East Melbourne,2024-06,224.1552448,1
East Melbourne,2024-07,220.6950998,1
East Melbourne,2024-08,243.4583942,1
East Melbourne,2024-09,227.8882682,1
East Melbourne,2024-10,258.9125168,1
East Melbourne,2024-11,240.7653631,1
East Melbourne,2024-12,215.0686406,1
Kensington,2024-01,71.93009566,1
Kensington,2024-02,86.61351139,1
Kensington,2024-03,82.62142333,1
Kensington,2024-04,82.03732504,1
Kensington,2024-05,88.03103709,1
Kensington,2024-06,77.75573123,1
Kensington,2024-07,67.76582761,1
Kensington,2024-08,82.42719168,1
Kensington,2024-09,79.9447429,1
Kensington,2024-10,86.55342668,1
Kensington,2024-11,85.68816388,1
Kensington,2024-12,80.62297496,1
Melbourne,2024-01,421.7904809,1
Melbourne,2024-02,480.3030165,1
Melbourne,2024-03,497.3191495,1
Melbourne,2024-04,465.493602,1
Melbourne,2024-05,423.4390958,1
Melbourne,2024-06,391.2474658,1
Melbourne,2024-07,399.1296167,1
Melbourne,2024-08,430.6878209,1
Melbourne,2024-09,400.7694666,1
Melbourne,2024-10,427.2322837,1
Melbourne,2024-11,426.3993021,1
Melbourne,2024-12,443.4807306,1
North Melbourne,2024-01,100.6858491,1
North Melbourne,2024-02,118.8415842,1
North Melbourne,2024-03,115.7159353,1
North Melbourne,2024-04,120.5981625,1
North Melbourne,2024-05,118.2830366,1
North Melbourne,2024-06,104.3068238,1
North Melbourne,2024-07,111.1260028,1
North Melbourne,2024-08,117.173389,1
North Melbourne,2024-09,109.8371304,1
North Melbourne,2024-10,121.8961161,1
North Melbourne,2024-11,115.4609827,1
North Melbourne,2024-12,107.1773445,1
South Wharf,2024-01,643.1075269,1
South Wharf,2024-02,606.3606322,1
South Wharf,2024-03,587.9905914,1
South Wharf,2024-04,621.7819444,1
South Wharf,2024-05,624.2005384,1
South Wharf,2024-06,669.7905308,1
South Wharf,2024-07,563.0540541,1
South Wharf,2024-08,617.7479784,1
South Wharf,2024-09,546.6341463,1
South Wharf,2024-10,793.7302726,1
South Wharf,2024-11,775.9928264,1
South Wharf,2024-12,864.405914,1
Southbank,2024-01,870.5104712,1
Southbank,2024-02,870.2688839,1
Southbank,2024-03,911.4945355,1
Southbank,2024-04,765.5930563,1
Southbank,2024-05,646.1463047,1
Southbank,2024-06,662.8273465,1
Southbank,2024-07,659.622588,1
Southbank,2024-08,739.8070575,1
Southbank,2024-09,701.8526441,1
Southbank,2024-10,791.7556306,1
Southbank,2024-11,801.7484832,1
Southbank,2024-12,882.9620546,1
West Melbourne,2024-08,64.55703325,1
West Melbourne,2024-09,70.70575221,1
West Melbourne,2024-10,80.13985206,1
West Melbourne,2024-11,76.3186008,1
West Melbourne,2024-12,72.84084699,1
Carlton,2024-01,156.4085662,102
Carlton,2024-02,202.6171757,102
Carlton,2024-03,202.9148625,102
Carlton,2024-04,188.2547655,102
Carlton,2024-05,188.4815682,102
Carlton,2024-06,155.9569892,102
Carlton,2024-07,158.3872832,102
Carlton,2024-08,215.1460065,102
Carlton,2024-09,177.4898284,102
Carlton,2024-10,185.1314355,102
Carlton,2024-11,162.5709799,102
Carlton,2024-12,151.7854501,102
Docklands,2024-01,227.9476767,102
Docklands,2024-02,267.3897443,102
Docklands,2024-03,270.8674764,102
Docklands,2024-04,221.8279879,102
Docklands,2024-05,247.8813655,102
Docklands,2024-06,223.9152343,102
Docklands,2024-07,227.8583995,102
Docklands,2024-08,250.0361136,102
Docklands,2024-09,219.3542724,102
Docklands,2024-10,296.4652723,102
Docklands,2024-11,276.318188,102
Docklands,2024-12,249.6365543,102
East Melbourne,2024-01,195.9014845,102
East Melbourne,2024-02,247.1370851,102
East Melbourne,2024-03,245.269179,102
East Melbourne,2024-04,258.1281337,102
East Melbourne,2024-05,236.0654952,102
East Melbourne,2024-06,224.1552448,102
East Melbourne,2024-07,220.6950998,102
East Melbourne,2024-08,243.4583942,102
East Melbourne,2024-09,227.8882682,102
East Melbourne,2024-10,258.9125168,102
East Melbourne,2024-11,240.7653631,102
East Melbourne,2024-12,215.0686406,102
Kensington,2024-01,71.93009566,102
Kensington,2024-02,86.61351139,102
Kensington,2024-03,82.62142333,102
Kensington,2024-04,82.03732504,102
Kensington,2024-05,88.03103709,102
Kensington,2024-06,77.75573123,102
Kensington,2024-07,67.76582761,102
Kensington,2024-08,82.42719168,102
Kensington,2024-09,79.9447429,102
Kensington,2024-10,86.55342668,102
Kensington,2024-11,85.68816388,102
Kensington,2024-12,80.62297496,102
Melbourne,2024-01,421.7904809,102
Melbourne,2024-02,480.3030165,102
Melbourne,2024-03,497.3191495,102
Melbourne,2024-04,465.493602,102
Melbourne,2024-05,423.4390958,102
Melbourne,2024-06,391.2474658,102
Melbourne,2024-07,399.1296167,102
Melbourne,2024-08,430.6878209,102
Melbourne,2024-09,400.7694666,102
Melbourne,2024-10,427.2322837,102
Melbourne,2024-11,426.3993021,102
Melbourne,2024-12,443.4807306,102
North Melbourne,2024-01,100.6858491,102
North Melbourne,2024-02,118.8415842,102
North Melbourne,2024-03,115.7159353,102
North Melbourne,2024-04,120.5981625,102
North Melbourne,2024-05,118.2830366,102
North Melbourne,2024-06,104.3068238,102
North Melbourne,2024-07,111.1260028,102
North Melbourne,2024-08,117.173389,102
North Melbourne,2024-09,109.8371304,102
North Melbourne,2024-10,121.8961161,102
North Melbourne,2024-11,115.4609827,102
North Melbourne,2024-12,107.1773445,102
South Wharf,2024-01,643.1075269,102
South Wharf,2024-02,606.3606322,102
South Wharf,2024-03,587.9905914,102
South Wharf,2024-04,621.7819444,102
South Wharf,2024-05,624.2005384,102
South Wharf,2024-06,669.7905308,102
South Wharf,2024-07,563.0540541,102
South Wharf,2024-08,617.7479784,102
South Wharf,2024-09,546.6341463,102
South Wharf,2024-10,793.7302726,102
South Wharf,2024-11,775.9928264,102
South Wharf,2024-12,864.405914,102
Southbank,2024-01,870.5104712,102
Southbank,2024-02,870.2688839,102
Southbank,2024-03,911.4945355,102
Southbank,2024-04,765.5930563,102
Southbank,2024-05,646.1463047,102
Southbank,2024-06,662.8273465,102
Southbank,2024-07,659.622588,102
Southbank,2024-08,739.8070575,102
Southbank,2024-09,701.8526441,102
Southbank,2024-10,791.7556306,102
Southbank,2024-11,801.7484832,102
Southbank,2024-12,882.9620546,102
West Melbourne,2024-08,64.55703325,102
West Melbourne,2024-09,70.70575221,102
West Melbourne,2024-10,80.13985206,102
West Melbourne,2024-11,76.3186008,102
West Melbourne,2024-12,72.84084699,102
