name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
Hopetoun Tea Rooms est. 1892,26,$$ - $$$,restaurant,4.5,"421 Bourke St Hopetoun Tea Rooms, Melbourne, Victoria 3000 Australia",-37.8147447,144.9617186,2311
Da Guido La Pasta,2,$$ - $$$,restaurant,4.5,"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8040324,144.9666117,1095
Foglia di Fico,3,$$ - $$$,restaurant,5,"585 La Trobe St (Spencer St entrance), Melbourne, Victoria 3000 Australia",-37.8133556,144.9519345,202
Pidapipo Gelateria,11,$,restaurant,4.5,"299 Lygon St, Carlton, Melbourne, Victoria 3053 Australia",-37.7983787,144.9670955,433
Kazuki's,9,$$$$,restaurant,4.5,"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8041216,144.9660142,500
Hochi Mama,17,$$ - $$$,restaurant,4.5,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810701,144.971677,1469
Sezar,18,$$ - $$$,restaurant,4.5,"6 Melbourne Pl, Melbourne, Victoria 3000 Australia",-37.81339,144.9689499,1024
The French Brasserie,19,$$$$,restaurant,4.5,"2 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.8154573,144.9715812,721
The Railway Club Hotel Steakhouse,24,$$ - $$$,restaurant,4.5,"107 Raglan St Port Melbourne, Melbourne, Victoria 3207 Australia",-37.8337815,144.9443076,680
Bistrot d'Orsay,29,$$ - $$$,restaurant,4.5,"184 Collins St, Melbourne, Victoria 3000 Australia",-37.8150355,144.967406,497
Da Guido 365,7,$$ - $$$,restaurant,4.5,"365 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8155631,144.9626661,524
Roule Galette Melbourne,8,$,restaurant,4.5,"241 Flinders Lane Shop 1, Melbourne, Victoria 3000 Australia",-37.8168239,144.9662818,604
Eau De Vie,15,$$ - $$$,restaurant,4.5,"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.8157231,144.9715309,814
Tipo 00,20,$$ - $$$,restaurant,4.5,"361 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8135846,144.9619894,823
Ruyi Modern Chinese,25,$$ - $$$,restaurant,4.5,"16 Liverpool St, Melbourne, Victoria 3000 Australia",-37.8110844,144.9714663,377
David's Master Pot (Elizabeth St - CBD),21,$$ - $$$,restaurant,5,"462 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.8078645,144.9606099,140
Longrain,28,$$ - $$$,restaurant,4.5,"44 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8106475,144.9712096,1172
Straight Outta Saigon,13,$$ - $$$,restaurant,4.5,"138 Russell Street Ground level, Melbourne, Victoria 3000 Australia",-37.8130144,144.96839,337
Patricia Coffee Brewers,27,$,restaurant,4.5,"493-495 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8146934,144.9582383,212
Coda,49,$$$$,restaurant,4.5,"141 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8157661,144.9698897,1150
Bowery to Williamsburg,55,$$ - $$$,restaurant,4.5,"16 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8162381,144.970252,322
Rare Steakhouse Midtown,51,$$ - $$$,restaurant,4.5,"12 Goldie Pl, Melbourne, Victoria 3000 Australia",-37.813386,144.960767,344
Seven Seeds,46,$$ - $$$,restaurant,4.5,"114 Berkley Street Carlton, Melbourne, Victoria Australia",-37.8028937,144.9590482,381
Bettyâ€™s Burgers & Concrete Co,44,$,restaurant,4.5,"97 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.8159123,144.9636262,1215
seamstress,36,$$ - $$$,restaurant,4.5,"113 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8105559,144.9690188,501
Laksa King,61,$,restaurant,4.5,"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",-37.7878851,144.9295518,557
Sud Food and Wine,56,$$ - $$$,restaurant,4.5,"219 King St, Melbourne, Victoria 3000 Australia",-37.8151074,144.9549067,230
11 Inch Pizza,4,$,restaurant,4.5,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8155661,144.9629631,324
Operator 25,22,$$ - $$$,restaurant,4.5,"25 Wills St, Melbourne, Victoria 3000 Australia",-37.8107329,144.9570341,447
Koko Black Chocolate,38,$$ - $$$,restaurant,4.5,"52 Collins St, Melbourne, Victoria 3000 Australia",-37.8134641,144.9718105,558
Auction Rooms,57,$$ - $$$,restaurant,4.5,"103-107 Errol St, Melbourne, Victoria 3051 Australia",-37.8025013,144.9494883,432
Tonka,58,$$$$,restaurant,4.5,"20 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8157594,144.9714188,817
Il Solito Posto,23,$$ - $$$,restaurant,4.5,"113 Collins St via George Parade, Melbourne, Victoria 3000 Australia",-37.8147691,144.9702618,989
Geppetto Trattoria,5,$$ - $$$,restaurant,4.5,"78A Wellington Pde, Melbourne, Victoria 3002 Australia",-37.8164787,144.9873637,439
Scopri,1,$$ - $$$,restaurant,5,"191 Nicholson St Carlton, Melbourne, Victoria 3053 Australia",-37.7956862,144.975082,1049
Railway Hotel,52,$$ - $$$,restaurant,4.5,"280 Ferrars St, Melbourne, Victoria 3205 Australia",-37.8353989,144.9557756,267
Afternoon Tea at The Hotel Windsor,41,$$$$,restaurant,4.5,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",-37.812125,144.9729651,1508
Piccolo Mondo,47,$$ - $$$,restaurant,4.5,"240 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8015593,144.9671281,735
1932 Cafe & Restaurant,50,$$ - $$$,restaurant,4.5,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",-37.8153266,144.9661686,443
+39 Pizzeria,48,$$ - $$$,restaurant,4.5,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8132826,144.9617644,1232
Red Spice Road,31,$$ - $$$,restaurant,4.5,"141 Queen St, Melbourne, Victoria 3000 Australia",-37.8153487,144.9606082,1737
Straits Cafe Melbourne,75,$$ - $$$,restaurant,4.5,"Rendezvous Hotel Melbourne 328 Flinders St, Melbourne, Victoria 3000 Australia",-37.8183324,144.9635426,262
Om Nom,83,$$$$,restaurant,4,"187 Flinders Lane Adelphi Hotel, Melbourne, Victoria 3000 Australia",-37.816265,144.9683427,545
MoVida Aqui,81,$$ - $$$,restaurant,4.5,"Nab Building, 1 500 Bourke St NAB Building, Melbourne, Victoria 3000 Australia",-37.8152622,144.9589353,752
Cicciolina,62,$$ - $$$,restaurant,4.5,"130 Acland St, Melbourne, Victoria 3182 Australia",-37.8685591,144.9800192,375
Movida Bar de Tapas,72,$$ - $$$,restaurant,4.5,"1 Hosier Lane, Melbourne, Victoria 3000 Australia",-37.8167338,144.9691879,2760
The Sherlock Holmes,64,$$ - $$$,restaurant,4.5,"415 Collins St, Melbourne, Victoria 3000 Australia",-37.8173653,144.9608277,344
Rare Steakhouse Downtown,60,$$ - $$$,restaurant,4.5,"42-44 King St, Melbourne, Victoria 3000 Australia",-37.8191552,144.9572031,516
Rice Paper Scissors,6,$$ - $$$,restaurant,4.5,"15 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8142828,144.9614027,2701
Ganache Chocolate,87,$$ - $$$,restaurant,4.5,"245 Collins St, Melbourne, Victoria 3000 Australia",-37.8159474,144.9657181,260
Flower Drum,42,$$$$,restaurant,4.5,"17 Market Lane, Melbourne, Victoria 3000 Australia",-37.8119154,144.9691713,1367
Rare Steakhouse Uptown,40,$$ - $$$,restaurant,4.5,"61 Little Collins St Shop 6, Melbourne, Victoria 3000 Australia",-37.8129822,144.9716921,755
Manchester Press,84,$$ - $$$,restaurant,4.5,"8 Rankins Lane, Melbourne, Victoria 3000 Australia",-37.8138885,144.9621516,500
Caterina's Cucina E Bar,85,$$ - $$$,restaurant,5,"221 Queen St, Melbourne, Victoria 3000 Australia",-37.8134202,144.9597956,111
Delhi Streets Indian Street Food,37,$,restaurant,4.5,"22 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.819841,144.956474,262
Amiconi,71,$$ - $$$,restaurant,4.5,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",-37.8053936,144.9495793,181
La Luna Bistro,69,$$ - $$$,restaurant,4.5,"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",-37.7910977,144.9719126,384
pastuso,78,$$ - $$$,restaurant,4.5,"19 Acdc Lane Off Flinders Lane Between Collins St and Exhibition St, Melbourne, Victoria 3000 Australia",-37.8158817,144.9710089,857
Brunetti Classico - Carlton,79,$$ - $$$,restaurant,4.5,"380 Lygon St 380 Lygon St, Carlton Vic, Melbourne, Victoria 3053 Australia",-37.7981335,144.9677286,3247
Lucy Liu Kitchen and Bar,67,$$ - $$$,restaurant,4.5,"23 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8159928,144.9699538,1195
Max Bar Restaurant,63,$$ - $$$,restaurant,4,"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8133408,144.9611612,1405
San Telmo,66,$$ - $$$,restaurant,4.5,"14 Meyers Pl, Melbourne, Victoria 3000 Australia",-37.8121868,144.9724559,709
Bamboo House Chinese Restaurant,90,$$ - $$$,restaurant,4.5,"47 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8109675,144.9711221,405
Vue De Monde,33,$$$$,restaurant,4.5,"525 Collins St Rialto Building 55th Floor, Melbourne, Victoria 3000 Australia",-37.8183961,144.957721,2035
Il Bacaro Cucina e Bar,12,$$$$,restaurant,4.5,"68-170 Little Collins St 168-170 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8138632,144.967994,504
Grand Trailer Park Taverna,82,$$ - $$$,restaurant,4.5,"87 Bourke St, Melbourne, Victoria 3000 Australia",-37.8121554,144.9708994,296
B'Churrasco Brazilian BBQ,43,$$ - $$$,restaurant,4.5,"61 A'Beckett St, Melbourne, Victoria 3000 Australia",-37.8091543,144.9616982,557
The Hardware Societe,35,$$ - $$$,restaurant,4.5,"10 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.8200218,144.9566345,1879
Supernormal,53,$$ - $$$,restaurant,4.5,"180 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815972,144.9683489,1619
Embla,70,$$ - $$$,restaurant,4.5,"122 Russell St, Melbourne, Victoria 3000 Australia",-37.813394,144.9686092,266
Cucinetta,10,$$ - $$$,restaurant,4.5,"U 4 3 Murphy St South Yarra, Melbourne, Victoria 3141 Australia",-37.8382844,144.9900594,401
Chocolate Buddha,32,$$ - $$$,restaurant,4.5,"Cnr. Flinders & Swanston Street Federation Square, Melbourne, Victoria 3000 Australia",-37.8175103,144.9675235,717
The Grain Store,39,$$ - $$$,restaurant,4.5,"Ground Floor 517 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8196561,144.95653,1248
Cargo Restaurant,86,$$ - $$$,restaurant,4.5,"Docklands Melbourne, Melbourne, Victoria 3008 Australia",-37.8170652,144.9419122,696
Cecconi's Flinders Lane,80,$$$$,restaurant,4.5,"61 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8150555,144.9725293,539
MoVida Next Door,73,$$ - $$$,restaurant,4.5,"164 Flinders St, Melbourne, Victoria 3000 Australia",-37.8167888,144.9691739,528
Punch Lane,34,$$ - $$$,restaurant,4.5,"43 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8109091,144.9713803,667
DOC Pizza & Mozzarella Bar,91,$$ - $$$,restaurant,4.5,"295 Drummond St, Melbourne, Victoria 3053 Australia",-37.7989674,144.9684753,672
Kenzan Japanese Restaurant,105,$$ - $$$,restaurant,4.5,"56 Flinders Lane At Collins Place, Melbourne, Victoria 3000 Australia",-37.8144879,144.9729852,278
Seasons Provedore,102,$$ - $$$,restaurant,4.5,"199 Lygon St, Melbourne, Victoria 3053 Australia",-37.800967,144.966654,494
1806,110,$$ - $$$,restaurant,4.5,"169 Exhibition St, Melbourne, Victoria 3000 Australia",-37.811684,144.9701283,259
The Meat & Wine Co Southbank,112,$$ - $$$,restaurant,4,"3 Freshwater Pl 3 Queensbridge Street, Melbourne, Victoria 3006 Australia",-37.8215031,144.961902,1478
Philippe,103,$$$$,restaurant,4.5,"115 Collins St, Melbourne, Victoria 3000 Australia",-37.8147295,144.9700165,261
The Quarter,94,$$ - $$$,restaurant,4,"27 Degraves St, Melbourne, Victoria 3000 Australia",-37.8170427,144.9654783,745
Cookie,95,$$ - $$$,restaurant,4,"U 1 252 Swanston St Level 1, 252 Swanston St, Melbourne, Victoria 3000 Australia",-37.8120083,144.9651728,1050
P.J.O'Brien's Irish Pub,92,$$ - $$$,restaurant,4,"Southgate Southgate Restaurant & Shopping Precinct, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,544
The  European,97,$$ - $$$,restaurant,4,"161 Spring St, Melbourne, Victoria 3000 Australia",-37.8108981,144.9725911,951
Rosco's at Chevron Cafe Bar,118,$$ - $$$,restaurant,4.5,"14/519 St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.8453253,144.9794322,262
Hakata Gensuke Ramen,54,$,restaurant,4.5,"168 Russell St, Melbourne, Victoria 3000 Australia",-37.8122628,144.9681737,369
Taxi Kitchen,76,$$ - $$$,restaurant,4.5,"Level 1, Federation Square, Flinders Street Transport Hotel, Melbourne, Victoria 3000 Australia",-37.8183938,144.9684217,953
Bomba,65,$$ - $$$,restaurant,4.5,"103 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8104213,144.9691111,457
Cumulus Inc.,59,$$ - $$$,restaurant,4.5,"45 Flinders La, Melbourne, Victoria 3000 Australia",-37.8148032,144.9730757,2123
Gingerboy,77,$$ - $$$,restaurant,4.5,"27-29 Crossley St, Melbourne, Victoria 3000 Australia",-37.8112002,144.9709745,990
Grill Steak Seafood,68,$$ - $$$,restaurant,4.5,"68 - 78 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8130614,144.9610642,1479
Milk the Cow,2,$$ - $$$,restaurant,4.5,"U 1 157 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8589,144.97947,338
Berth,109,$$ - $$$,restaurant,4,"45 New Quay Promenade Docklands, Melbourne, Victoria 3008 Australia",-37.8151482,144.9418505,568
Carlton Wine Room,142,$$ - $$$,restaurant,4.5,"172-174 Faraday Street Carlton, Melbourne, Victoria Australia",-37.7986111,144.9686111,205
Mamasita,135,$$ - $$$,restaurant,4,"11 Collins St, Melbourne, Victoria 3000 Australia",-37.8137892,144.9734671,1307
The Meatball and Wine Bar,132,$$ - $$$,restaurant,4,"135 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8157447,144.970197,699
A Hereford Beefstouw,139,$$ - $$$,restaurant,4.5,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8158063,144.9713154,199
Cafe Rosco,130,$$ - $$$,restaurant,4.5,"407D St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.8361923,144.9761994,232
BangPop,119,$$ - $$$,restaurant,4,"35 South Wharf Promenade Off Dukes Walk, South Wharf, Melbourne, Victoria 3006 Australia",-37.824201,144.95135,559
Caffe e Cucina,147,$$ - $$$,restaurant,4,"581 Chapel St South Yarra, Melbourne, Victoria 3141 Australia",-37.8401884,144.9952627,490
Melba Restaurant,125,$$$$,restaurant,4,"1 Southgate Ave The Langham, Southbank, Melbourne, Victoria 3006 Australia",-37.8205751,144.9656601,1306
Chokolait Hub,106,$$ - $$$,restaurant,4.5,"287 Lonsdale St Shop 342, Level 3, Emporium, Melbourne, Victoria 3000 Australia",-37.8123362,144.9637384,410
Waterfront,99,$$$$,restaurant,4,"Southgate Avenue Shop 20/3, Melbourne, Victoria 3006 Australia",-37.8204031,144.9662873,1525
HQ's On William,122,$$ - $$$,restaurant,4.5,"380 William St Radisson on Flagstaff Gardens, Melbourne, Victoria 3000 Australia",-37.8103603,144.9560809,306
Bottega,96,$$$$,restaurant,4,"74 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117213,144.9710448,405
Shanghai Street,121,$,restaurant,4,"342 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8132158,144.9623952,595
Lupino Bistro and Bar,16,$$ - $$$,restaurant,4.5,"41 Little Collins St, Melbourne, Victoria 3000 Australia",-37.812776,144.9723611,416
Mamak,116,$,restaurant,4,"366 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8122826,144.9615784,514
Donovans,1,$$$$,restaurant,4.5,"40 Jacka Boulevard, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8685776,144.9751279,1022
Brick Lane Melbourne,14,$$ - $$$,restaurant,4.5,"33 Guildford Lane, Melbourne, Victoria 3000 Australia",-37.8114463,144.9598499,208
No35,104,$$$$,restaurant,4,"35/25 Collins St Level 35, Melbourne, Victoria 3000 Australia",-37.8139461,144.9734456,929
La Camera Restaurant Southgate,145,$$ - $$$,restaurant,4,"Shop MR2, Mid-level, Southgate Southbank, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,1148
Brother Baba Budan,30,$,restaurant,4.5,"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",-37.813541,144.9620988,440
Japanese Teppanyaki Inn,107,$$$$,restaurant,4.5,"182 Collins St, Melbourne, Victoria 3000 Australia",-37.8150015,144.9675291,219
Rosa's Canteen,138,$$ - $$$,restaurant,4.5,"Cnr Little Bourke & Thomson St Level 1, Melbourne, Victoria 3000 Australia",-37.8144103,144.9587573,154
Two Birds One Stone,101,$$ - $$$,restaurant,4.5,"12 Claremont St, Melbourne, Victoria 3141 Australia",-37.8379997,144.9940221,366
Red Emperor Chinese Restaurant,165,$$ - $$$,restaurant,4,"3 Southgate Ave M10/ Mid Level, Melbourne, Victoria 3006 Australia",-37.82009,144.9663893,534
Squires Loft South Yarra,93,$$ - $$$,restaurant,4.5,"166 Toorak Rd, Melbourne, Victoria 3141 Australia",-37.8379464,144.9851537,383
Grossi  Florentino,133,$$$$,restaurant,4,"80 Bourke St, Melbourne, Victoria 3000 Australia",-37.8117334,144.9708074,1262
Epocha,128,$$$$,restaurant,4.5,"49 Rathdowne St Carlton South, Melbourne, Victoria 3053 Australia",-37.8059343,144.96879,254
Magic Mountain Saloon,148,$$ - $$$,restaurant,4,"62 Little Collins St, Melbourne, Victoria 3000 Australia",-37.81281,144.971442,289
The Bank on Collins,98,$$ - $$$,restaurant,4,"394 Collins St, Melbourne, Victoria 3000 Australia",-37.8167434,144.9612062,393
Ponyfish Island,115,$$ - $$$,restaurant,4,"Underneath Evan Walker Pedestrian Bridge Southbank, Melbourne, Victoria 3006 Australia",-37.8199057,144.9650109,479
IL Dolce Freddo,146,$,restaurant,4.5,"116 Lygon Street, Carlton, Melbourne, Victoria 3053 Australia",-37.8042985,144.9665411,175
Osteria Ilaria,120,$$ - $$$,restaurant,4.5,"367 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8136094,144.9618977,248
Juicy Bao,123,$,restaurant,4.5,"178-190 Little Bourke St Shop 2, Melbourne, Victoria 3000 Australia",-37.8118913,144.9669625,365
Fitzrovia,3,$$ - $$$,restaurant,4.5,"155 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8589853,144.9792654,732
Trattoria Emilia,141,$$ - $$$,restaurant,4.5,"360 Little Collins St Little Collins Street, Melbourne, Victoria 3000 Australia",-37.815333,144.9626731,261
Maha,45,$$$$,restaurant,4.5,"21 Bond St, Melbourne, Victoria 3000 Australia",-37.8181528,144.962662,1702
Tiamo,144,$$ - $$$,restaurant,4,"303 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.7981962,144.9670955,726
Vivace,1,$$ - $$$,restaurant,4.5,"317 Bay St, Brighton, Bayside, Victoria 3186 Australia",-37.9054646,145.0030601,408
Conservatory,108,$$$$,restaurant,4,"Crown Entertainment Complex 8 Whiteman St 8 Whiteman St, Southbank, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1129
Dukes Coffee Roasters,89,$,restaurant,4.5,"247 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8168963,144.9660953,182
Trunk,129,$$ - $$$,restaurant,4,"275 Exhibition St, Melbourne, Victoria 3000 Australia",-37.8093611,144.9689708,769
Becco,124,$$$$,restaurant,4.5,"11-25 Crossley St, Melbourne, Victoria 3000 Australia",-37.8114384,144.9709133,378
Sally's Kitchen and Winebar,131,$$ - $$$,restaurant,4.5,"115 Little Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8094188,144.9685701,232
Higher Ground,134,$$ - $$$,restaurant,4,"650 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8157491,144.9530438,713
The Recreation bistro x bottleshop,143,$$ - $$$,restaurant,4.5,"162-170 Queens Parade, Fitzroy North, Melbourne, Victoria 3068 Australia",-37.7905673,144.9852208,109
Pellegrini's Espresso Bar,127,$,restaurant,4,"66 Bourke St, Melbourne, Victoria 3000 Australia",-37.8116808,144.9711915,1067
DoDee Paidang Thai Bar and Cafe,117,$,restaurant,4.5,"353 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8158988,144.9631565,185
Ca de Vin,136,$$ - $$$,restaurant,4,"350 Bourke St Melbourne GPO, Melbourne, Victoria 3000 Australia",-37.8135391,144.9632758,523
Terra Rossa Restaurant & Bar,137,$$ - $$$,restaurant,4,"87 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8152624,144.9713399,458
Noir,3,$$$$,restaurant,4.5,"175 Swan St, Richmond, Yarra, Victoria 3121 Australia",-37.8254928,144.997523,234
Bistro Thierry,1,$$$$,restaurant,4.5,"511 Malvern Rd, Toorak, Stonnington, Victoria 3142 Australia",-37.8479337,145.0035105,540
Bouzy Rouge,2,$$ - $$$,restaurant,4.5,"470 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",-37.8195644,145.0071607,358
Sake Restaurant & Bar,180,$$ - $$$,restaurant,4,"100 St Kilda Rd Hamer Hall, Arts Centre, Melbourne, Victoria 3004 Australia",-37.8201455,144.9679946,725
Ginger Olive Restaurant and Grill,164,$$ - $$$,restaurant,5,"U 2 38 Manchester Lane Corner Manchester Lane and Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8164935,144.9662126,80
Mercadante Woodfired Pizzeria,175,$$ - $$$,restaurant,4.5,"Shop 123, Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8040987,144.966046,365
Palermo,166,$$ - $$$,restaurant,4.5,"401 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.813901,144.9609941,143
France Soir,154,$$$$,restaurant,4,"11 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",-37.8381816,144.9869535,654
Blondie Bar,155,$$ - $$$,restaurant,4,"Corner Sturt Street & Southbank Boulevard, Southbank Melbourne Recital Centre, Melbourne, Victoria 3006 Australia",-37.8238758,144.9676033,258
Ciao Cielo,159,$$ - $$$,restaurant,4.5,"115 Bay St, Melbourne, Victoria 3207 Australia",-37.840291,144.9403302,268
Madame Brussels,114,$$ - $$$,restaurant,4,"59-63 Bourke St Level 3, Above Spaghetti Tree Restaurant!, Melbourne, Victoria 3000 Australia",-37.8119715,144.9715104,461
Pure South Dining,177,$$$$,restaurant,4,"3 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",-37.820556,144.965833,927
Nobu Melbourne,178,$$$$,restaurant,4,"Crown Entertainment Complex 8 Whiteman St, Melbourne, Victoria 3006 Australia",-37.8235301,144.9580953,1462
Stalactites,149,$$ - $$$,restaurant,4,"177-183 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8111764,144.9670673,1473
St Ali Coffee Roasters,111,$$ - $$$,restaurant,4,"12-18 Yarra Pl, Melbourne, Victoria 3205 Australia",-37.8312737,144.9603327,632
Hofbrauhaus,126,$$ - $$$,restaurant,4,"18-26 Market Lane In the heart of Chinatown, Melbourne, Victoria 3000 Australia",-37.811775,144.9693901,475
The Lui Bar,113,$$$$,restaurant,4.5,"Rialto L 55 525 Collins St, Melbourne, Victoria 3000 Australia",-37.8182741,144.957646,463
Centonove,1,$$$$,restaurant,4.5,"109 Cotham Rd, Kew, Boroondara, Victoria 3101 Australia",-37.8075681,145.0387546,252
Axil Coffee Roasters,150,$$ - $$$,restaurant,4.5,"322 Burwood Rd Hawthorn Not Camberwell, Melbourne, Victoria 3122 Australia",-37.8228023,145.0342226,200
Claypots Seafood Bar,4,$$ - $$$,restaurant,4.5,"213 Barkly St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8699281,144.9804956,525
